Timestamp,group_z,group_y,group_x,group_y,group_v,group_u,group_t,group_s,group_r,group_q
12/7/2015 12:36:57,GREAT,GREAT,GREAT,GREAT,GREAT,GREAT,GREAT,GREAT,BEST,GREAT
12/7/2015 13:10:27,GOOD,GOOD,GOOD,GOOD,GOOD,GOOD,GOOD,GREAT,GREAT,BEST
12/7/2015 13:10:30,GREAT,GOOD,GOOD,GREAT,GREAT,GREAT,GREAT,BEST,GREAT,GREAT
12/7/2015 13:22:08,GREAT,GREAT,GREAT,GREAT,GREAT,GREAT,GREAT,GREAT,GREAT,GREAT
12/7/2015 13:26:49,BEST,GREAT,GREAT,GREAT,GREAT,GREAT,GREAT,GREAT,GREAT,GREAT
12/7/2015 13:27:04,GOOD,GOOD,GOOD,GREAT,GOOD,GOOD,GREAT,BEST,BEST,BEST
12/7/2015 13:27:44,GOOD,GOOD,GOOD,GREAT,GOOD,OK,GREAT,GREAT,OK,GREAT
12/7/2015 13:27:47,GREAT,GREAT,BEST,BEST,GREAT,GREAT,BEST,GREAT,BEST,BEST
12/7/2015 13:29:11,GOOD,GREAT,GOOD,GREAT,BEST,GOOD,GOOD,GOOD,OK,GOOD
12/7/2015 13:29:36,GREAT,GREAT,BEST,GREAT,GREAT,GREAT,GREAT,GREAT,GREAT,GREAT
12/7/2015 13:29:41,BEST,BEST,BEST,BEST,BEST,BEST,BEST,BEST,BEST,BEST
12/7/2015 13:29:44,GOOD,GREAT,GOOD,GOOD,GOOD,GOOD,GREAT,GREAT,GOOD,GOOD
12/7/2015 13:29:50,BEST,BEST,BEST,BEST,BEST,BEST,BEST,BEST,BEST,BEST
12/7/2015 13:29:54,GOOD,GOOD,GOOD,GREAT,GOOD,GREAT,GOOD,GREAT,GOOD,GOOD
12/7/2015 13:30:00,GOOD,GOOD,BEST,OK,GOOD,GREAT,GOOD,GREAT,GOOD,OK
12/7/2015 13:30:04,GREAT,GREAT,GREAT,GOOD,GREAT,GREAT,GOOD,GREAT,GREAT,GOOD
12/7/2015 13:30:07,GREAT,GREAT,BEST,GREAT,BEST,GREAT,GREAT,BEST,GREAT,GREAT
12/7/2015 13:30:08,GREAT,GREAT,GREAT,GREAT,GREAT,GREAT,GREAT,GREAT,GREAT,GREAT
12/7/2015 13:30:08,GREAT,GREAT,GREAT,BEST,GREAT,GREAT,GREAT,BEST,GREAT,GREAT
12/7/2015 13:30:12,GOOD,BEST,GOOD,GREAT,GOOD,BEST,OK,GREAT,OK,OK
12/7/2015 13:30:13,GREAT,GOOD,GREAT,GOOD,GREAT,GOOD,GREAT,GREAT,GREAT,GOOD
12/7/2015 13:30:14,GREAT,GOOD,GOOD,GOOD,GOOD,GOOD,GREAT,BEST,GREAT,GREAT
12/7/2015 13:30:15,GREAT,GREAT,GREAT,GREAT,GREAT,GREAT,GREAT,GREAT,BEST,GREAT
12/7/2015 13:30:18,GREAT,BEST,GOOD,GREAT,GREAT,GREAT,GOOD,BEST,GOOD,BEST
12/7/2015 13:30:31,BEST,BEST,BEST,BEST,BEST,BEST,BEST,BEST,BEST,BEST
12/7/2015 13:30:33,GREAT,GOOD,GOOD,GREAT,BEST,BEST,GREAT,GREAT,GOOD,GREAT
12/7/2015 13:30:35,GREAT,BEST,OK,GOOD,OK,GREAT,GOOD,GREAT,OK,GREAT
12/7/2015 13:30:37,BEST,GREAT,GOOD,BEST,GOOD,GREAT,GREAT,BEST,GOOD,BEST
12/7/2015 13:30:39,BEST,BEST,GREAT,BEST,GREAT,GREAT,GREAT,GREAT,GREAT,BEST
12/7/2015 13:30:41,GREAT,GREAT,GOOD,GREAT,BEST,BEST,GOOD,GOOD,GOOD,GOOD
12/7/2015 13:30:43,BEST,BEST,BEST,GOOD,BEST,GREAT,BEST,BEST,GREAT,BEST
12/7/2015 13:30:45,BEST,GREAT,BEST,BEST,GREAT,GREAT,BEST,GREAT,GREAT,GREAT
12/7/2015 13:30:47,BEST,GREAT,GREAT,BEST,GREAT,GREAT,GREAT,GREAT,GREAT,BEST
12/7/2015 13:30:53,BEST,GOOD,GOOD,BEST,GREAT,GREAT,BEST,GOOD,GREAT,GOOD
12/7/2015 13:31:38,GREAT,GOOD,GREAT,GOOD,GREAT,GREAT,GREAT,GREAT,BEST,GOOD
12/7/2015 13:31:49,GREAT,GREAT,GOOD,GOOD,BEST,GOOD,BEST,GREAT,GREAT,GOOD
12/7/2015 13:32:25,GREAT,GREAT,GREAT,GREAT,GOOD,GOOD,GREAT,BEST,GREAT,GREAT
,123,116,112,120,117,113,117,132,112,120
,,,,,,,,,,
BEST,10,8,9,10,9,6,8,12,8,11
GREAT,19,18,12,17,17,22,20,22,18,15
GOOD,8,11,15,9,10,8,8,3,7,9
OK,0,0,1,1,1,1,1,0,4,2
POOR,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,
,123,116,112,120,117,113,117,132,112,120
112,,,,,,,,,,
132,93.18%,87.88%,84.85%,90.91%,88.64%,85.61%,88.64%,100.00%,84.85%,90.91%
89.55%,,,,,,,,,,
