criteria:,.8 for at least one photo or contact info; 0.6 for lack of photo evidence OR interviewer contact info;,0.5 for less than 2 interviews or 3 events,
student_id,evidence,industry_insights,meetups_grade
38,1,1,1
16,1,1,1
24,1,1,1
17,1,1,1
6,1,1,1
26,1,1,1
39,1,1,1
8,1,1,1
1,1,1,1
15,1,1,1
35,1,1,1
4,1,1,1
32,1,1,1
19,1,1,1
37,1,1,1
9,1,1,1
21,1,1,1
20,1,1,1
14,1,1,1
5,1,1,1
36,1,1,1
31,1,1,1
22,1,1,1
30,1,1,1
2,1,1,1
23,0.8,1,0.9
29,0.8,1,0.9
18,0.6,1,0.8
28,0.6,1,0.8
7,0.6,1,0.8
13,0.6,1,0.8
3,0.6,1,0.8
27,0.6,1,0.8
11,0.6,1,0.8
25,0.6,1,0.8
12,1,0.5,0.75
10,0,0,0
34,0,0,0
33,0,0,0
