response_id,created_at,created_at_formatted,email,first_name,last_name,nickname,graduation_class,hometown,majors,scheduling,learning_objectives,work_experience,interests,learning_objective_business,learning_objective_info_systems,learning_objective_career,learning_objective_requirement,learning_objective_personal,work_experience_public,work_experience_business,work_experience_social_media,work_experience_other,interest_adventure,interest_arts,interest_business,interest_public,interest_stem,personal_computer,operating_system,operating_system_usage_windows,operating_system_usage_mac,operating_system_usage_ios,operating_system_usage_android,software_usage_word,software_usage_docs,software_usage_excel,software_usage_sheets,software_usage_powerpoint,software_usage_slides,software_usage_viso,software_usage_lucidchart,software_usage_access,tools_usage_email,tools_usage_blackboard,tools_usage_gchat,tools_usage_slack,tech_usage_csv,tech_usage_json,tech_usage_sql,tech_usage_xml,tech_usage_html,tech_usage_css,tech_usage_javascript,tech_usage_java,tech_usage_php,tech_usage_ruby,tech_usage_python,tech_usage_c_plus_plus,tech_usage_visual_basic,tech_usage_c_sharp,tech_usage_c,tech_usage_objective_c,tech_usage_perl,tech_usage_r,tech_usage_dot_net,tools_usage_hipchat,tools_usage_irc,tools_usage_aws,tools_usage_github,tools_usage_bitbucket,website_experience,meetup_comfort
1,8/31/2015 11:18:20,2015-08-31 11:18:20,#redacted,#redacted,#redacted,#redacted,Sophomore,"Austin, TX","Marketing, Environmental Studies",,#redacted,#redacted,#redacted,1,0,1,0,0,1,1,1,0,0,1,0,0,0,Yes,Mac OS,Used a few times but with discomfort,Can use with ease,Can use with ease,Used a few times but with discomfort,Can use with ease,Can use with ease,Can use with ease,Used a few times but with discomfort,Can use with ease,Used a few times but with discomfort,Heard of but never used,Never heard of,Never heard of,Can use with ease,Can use with ease,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Used a few times but with discomfort,Heard of but never used,Heard of but never used,Heard of but never used,Heard of but never used,Heard of but never used,Heard of but never used,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Heard of but never used,Never heard of,Never heard of,Never heard of,Heard of but never used,Never heard of,No,Sounds fun. Can't wait.
2,8/31/2015 11:17:36,2015-08-31 11:17:36,#redacted,#redacted,#redacted,#redacted,Sophomore,"Willow Grove, PA","Marketing, Sport, Event, and Hospitality Management",,#redacted,#redacted,#redacted,1,0,1,0,0,1,1,0,0,1,0,1,1,0,Yes,Mac OS,Used a few times but with discomfort,Can use with ease,Can use with ease,Can use with comfort,Can use with ease,Can use with ease,Can use with ease,Can use with ease,Can use with ease,Can use with ease,Heard of but never used,Never heard of,Never heard of,Can use with ease,Can use with ease,Can use with ease,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Heard of but never used,Never heard of,Heard of but never used,Heard of but never used,Never heard of,Never heard of,Heard of but never used,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Heard of but never used,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,No,Sounds fun. Can't wait.
3,8/31/2015 11:12:31,2015-08-31 11:12:31,#redacted,#redacted,#redacted,#redacted,Sophomore,"Annapolis, MD","Information Systems, Marketing",,#redacted,#redacted,#redacted,0,1,1,1,0,1,0,1,1,1,1,0,0,0,Yes,Mac OS,Can use with ease,Can use with ease,Can use with ease,Can use with comfort,Can use with ease,Can use with ease,Can use with comfort,Can use with comfort,Can use with ease,Can use with ease,Never heard of,Never heard of,Never heard of,Can use with ease,Can use with comfort,Heard of but never used,Never heard of,Heard of but never used,Heard of but never used,Heard of but never used,Heard of but never used,Used a few times but with discomfort,Used a few times but with discomfort,Heard of but never used,Heard of but never used,Heard of but never used,Heard of but never used,Heard of but never used,Heard of but never used,Heard of but never used,Heard of but never used,Heard of but never used,Heard of but never used,Heard of but never used,Heard of but never used,Heard of but never used,Heard of but never used,Heard of but never used,Heard of but never used,Heard of but never used,Heard of but never used,Yes,Sounds fun. Can't wait.
4,8/31/2015 12:14:54,2015-08-31 12:14:54,#redacted,#redacted,#redacted,#redacted,Junior,Dobbs Ferry NY,International Business,,#redacted,#redacted,#redacted,1,0,0,0,0,0,0,0,1,1,1,0,0,,Yes,Mac OS,Can use with ease,Can use with ease,Can use with ease,Can use with ease,Can use with ease,Can use with ease,Can use with ease,Can use with ease,Can use with ease,Can use with ease,Never heard of,Never heard of,Never heard of,Can use with ease,Can use with ease,Never heard of,Never heard of,Heard of but never used,Heard of but never used,Heard of but never used,Heard of but never used,Used a few times but with discomfort,Used a few times but with discomfort,Heard of but never used,Heard of but never used,Used a few times but with discomfort,Heard of but never used,Used a few times but with discomfort,Heard of but never used,Heard of but never used,Heard of but never used,Heard of but never used,Heard of but never used,Heard of but never used,Heard of but never used,Heard of but never used,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,No,Sounds fine.
5,8/31/2015 11:18:42,2015-08-31 11:18:42,#redacted,#redacted,#redacted,#redacted,Senior,China,Psychology,Class immediately after,#redacted,#redacted,#redacted,1,0,1,0,0,0,1,1,0,0,1,1,0,0,Yes,Mac OS,Can use with comfort,Can use with ease,Can use with ease,Used a few times but with discomfort,Can use with ease,Can use with ease,Can use with ease,Can use with ease,Can use with ease,Can use with ease,Never heard of,Never heard of,Never heard of,Can use with ease,Can use with ease,Never heard of,Never heard of,Heard of but never used,Never heard of,Never heard of,Never heard of,Heard of but never used,Never heard of,Heard of but never used,Heard of but never used,Never heard of,Never heard of,Heard of but never used,Never heard of,Never heard of,Heard of but never used,Never heard of,Heard of but never used,Never heard of,Never heard of,Heard of but never used,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,No,Sounds fun. Can't wait.
6,8/31/2015 11:19:24,2015-08-31 11:19:24,#redacted,#redacted,#redacted,#redacted,Sophomore,Hong Kong,"Finance, Marketing",,#redacted,#redacted,#redacted,1,1,0,0,0,1,1,0,0,1,1,0,0,0,Yes,Mac OS,Can use with comfort,Can use with ease,Can use with ease,Heard of but never used,Can use with ease,Can use with ease,Can use with comfort,Can use with comfort,Can use with ease,Can use with comfort,Never heard of,Never heard of,Heard of but never used,Can use with ease,Can use with ease,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Heard of but never used,Heard of but never used,Heard of but never used,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Heard of but never used,Never heard of,Heard of but never used,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,No,Sounds fun. Can't wait.
7,8/31/2015 11:11:59,2015-08-31 11:11:59,#redacted,#redacted,#redacted,#redacted,Sophomore,"Newport, Rhode Island",International Business,Class immediately before,#redacted,#redacted,#redacted,0,1,0,0,0,0,0,0,1,1,0,0,0,0,Yes,Mac OS,Can use with comfort,Can use with comfort,Can use with comfort,Used a few times but with discomfort,Heard of but never used,Can use with comfort,Heard of but never used,Used a few times but with discomfort,Used a few times but with discomfort,Can use with comfort,Never heard of,Never heard of,Never heard of,Can use with ease,Can use with ease,Heard of but never used,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Heard of but never used,Never heard of,Never heard of,Heard of but never used,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,No,Sounds fun. Can't wait.
8,8/31/2015 11:20:28,2015-08-31 11:20:28,#redacted,#redacted,#redacted,#redacted,Sophomore,"Arlington, MA","Finance, Sport, Event, and Hospitality Management, (Undecided)",,#redacted,#redacted,#redacted,1,0,1,0,0,1,0,0,1,1,1,1,0,0,Yes,Mac OS,Can use with comfort,Can use with comfort,Can use with comfort,Heard of but never used,Can use with ease,Can use with ease,Can use with comfort,Can use with comfort,Can use with comfort,Can use with comfort,Never heard of,Never heard of,Heard of but never used,Can use with ease,Can use with ease,Heard of but never used,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Heard of but never used,Never heard of,Heard of but never used,Heard of but never used,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Heard of but never used,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,No,Sounds fine.
9,8/31/2015 11:17:59,2015-08-31 11:17:59,#redacted,#redacted,#redacted,#redacted,Sophomore,"West Long Branch, NJ",Undecided,,#redacted,#redacted,#redacted,0,1,1,0,1,0,1,0,0,1,0,1,0,0,Yes,Mac OS,Heard of but never used,Heard of but never used,Used a few times but with discomfort,Heard of but never used,Can use with comfort,Can use with ease,Used a few times but with discomfort,Used a few times but with discomfort,Can use with ease,Can use with ease,Never heard of,Never heard of,Never heard of,Can use with ease,Can use with ease,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Heard of but never used,Never heard of,Heard of but never used,Used a few times but with discomfort,Never heard of,Never heard of,Never heard of,Heard of but never used,Never heard of,Heard of but never used,Never heard of,Heard of but never used,Heard of but never used,Never heard of,Heard of but never used,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Yes,Sounds fine.
10,8/31/2015 11:18:03,2015-08-31 11:18:03,#redacted,#redacted,#redacted,#redacted,Junior,Pittsburgh,Finance,,#redacted,#redacted,#redacted,1,0,0,0,0,0,1,0,0,0,1,0,0,1,Yes,Mac OS,Can use with ease,Can use with ease,Can use with ease,Heard of but never used,Can use with comfort,Can use with comfort,Can use with comfort,Can use with comfort,Can use with ease,Heard of but never used,Never heard of,Never heard of,Never heard of,Can use with ease,Can use with ease,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Used a few times but with discomfort,Never heard of,Used a few times but with discomfort,Used a few times but with discomfort,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Used a few times but with discomfort,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Yes,Sounds fine.
